# NumberResearch.org area code dataset. License CC BY 4.0. Underlying data: NANPA (nanpa.com), file date 09/17/2026. Retrieved via numberresearch.org/datasets
npa,kind,status,country,region,in_service_date,parent_npa,dialing_pattern
457,geographic,in_service,US,LA,2025-09-25,318,10D
458,geographic,in_service,US,OR,2010-02-10,541,10D
459,geographic,reserved,,,,,
460,geographic,reserved,CANADA,,,,
461,geographic,unassigned,,,,,
462,geographic,reserved,,,,,
463,geographic,in_service,US,IN,2016-11-15,317,10D
464,geographic,in_service,US,IL,2022-01-21,708,1+10D
465,geographic,in_service,US,NY,2026-06-18,718,1+10D
466,non_geographic,unassigned,,,,,
467,geographic,unassigned,,,,,
468,geographic,in_service,CANADA,QUEBEC,2022-10-22,819,10D
469,geographic,in_service,US,TX,1999-07-01,214,10D
470,geographic,in_service,US,GA,2010-02-26,678,10D
471,geographic,in_service,US,MS,2026-01-30,662,10D
472,geographic,in_service,US,NC,2022-10-07,910,10D
473,geographic,in_service,GRENADA,GRENADA,1997-10-31,809,7D
474,geographic,in_service,CANADA,SASKATCHEWAN,2021-10-02,639,10D
475,geographic,in_service,US,CT,2009-12-12,203,10D
476,geographic,reserved,,,,,
477,non_geographic,unassigned,,,,,
478,geographic,in_service,US,GA,2000-08-01,912,10D
479,geographic,in_service,US,AR,2002-01-19,501,7D
480,geographic,in_service,US,AZ,1999-03-01,602,10D
481,geographic,reserved,,,,,
482,geographic,unassigned,,,,,
483,geographic,in_service,US,AL,2026-02-23,334,10D
484,geographic,in_service,US,PA,1999-06-05,610,10D
485,geographic,unassigned,,,,,
486,geographic,unassigned,,,,,
487,geographic,reserved,CANADA,,,,
488,non_geographic,unassigned,,,,,
489,geographic,unassigned,,,,,
490,non_geographic,reserved,,,,,
491,non_geographic,reserved,,,,,
492,non_geographic,reserved,,,,,
493,non_geographic,reserved,,,,,
494,non_geographic,reserved,,,,,
495,non_geographic,reserved,,,,,
496,non_geographic,reserved,,,,,
497,non_geographic,reserved,,,,,
498,non_geographic,reserved,,,,,
499,non_geographic,reserved,,,,,
500,non_geographic,in_service,US,,1994-05-19,500,NA
